order_id,tag,side,entry,exit,sl,tp,R,pnl_usd
1,SL,-1,1.16385,1.16433,1.16433,1.16306,-1.0,-2.0
2,TP,1,1.16340,1.16387,1.16304,1.16387,1.301,2.6
3,TP,-1,1.16416,1.16376,1.16459,1.16376,0.938,1.88
