order_id,tag,side,entry,exit,sl,tp,R,pnl_usd
1,TP,-1,1.1042366590735138,1.0963898902344116,1.1099434000474064,1.0963898902344116,1.374999999999956,2.749999999999912
2,TP,-1,1.0900940769691447,1.0822283780176827,1.0958145852974808,1.0822283780176827,1.375,2.75
3,SL,1,1.0785881344647994,1.0734667960393647,1.0734667960393647,1.0856299747997722,-1.0,-2.0
4,TP,1,1.0849692386609264,1.0932746723662734,1.078928923238856,1.0932746723662734,1.3750000000000044,2.750000000000009
5,SL,-1,1.1272664630316624,1.131959224677969,1.131959224677969,1.1208139157679908,-1.0,-2.0
6,TP,1,1.1320711006664788,1.1395425190943858,1.1266373418098192,1.1395425190943858,1.3750000000000255,2.750000000000051
7,SL,-1,1.164186742377346,1.169483805649473,1.169483805649473,1.1569032803781714,-1.0,-2.0
8,SL,-1,1.1679169371862683,1.172994068351497,1.172994068351497,1.160935881834079,-1.0,-2.0
9,SL,1,1.1762517990090904,1.1705912623587713,1.1705912623587713,1.184035036903279,-1.0,-2.0
10,SL,-1,1.1689885628824217,1.1748521816105264,1.1748521816105264,1.1609260871312777,-1.0,-2.0
11,TP,1,1.1808518292427612,1.1891821166282779,1.174793438416931,1.1891821166282779,1.375000000000009,2.750000000000018
12,SL,-1,1.1739008840349772,1.179851959677967,1.179851959677967,1.1657181550258662,-1.0,-2.0
13,SL,1,1.1855177439094522,1.1793912272415925,1.1793912272415925,1.1939417043277594,-1.0,-2.0
14,SL,-1,1.1779022756477497,1.183643451933865,1.183643451933865,1.1700081582543413,-1.0,-2.0
15,TP,1,1.184290807279831,1.1922284653449657,1.178517965050642,1.1922284653449657,1.3749999999999807,2.7499999999999614
16,SL,-1,1.1983726642090986,1.2027089092698324,1.2027089092698324,1.1924103272505895,-1.0,-2.0
17,TP,1,1.207072903043025,1.214010129672018,1.2020276473128482,1.214010129672018,1.3750000000000056,2.750000000000011
18,TP,-1,1.189911163641479,1.1804195758306162,1.1968141365948337,1.1804195758306162,1.375000000000004,2.750000000000008
19,SL,1,1.1904436253762325,1.1842627986242458,1.1842627986242458,1.1989422621602142,-1.0,-2.0
20,SL,1,1.193815091505413,1.1875242074177776,1.1875242074177776,1.202465057125912,-1.0,-2.0
21,SL,-1,1.1780435512340985,1.1832870769650958,1.1832870769650958,1.170833703353977,-1.0,-2.0
22,TP,-1,1.1920033319918788,1.1847884056776472,1.1972505511295017,1.1847884056776472,1.3750000000000107,2.7500000000000213
23,SL,1,1.147396935785816,1.1425541079336379,1.1425541079336379,1.1540558240825611,-1.0,-2.0
24,SL,-1,1.143481064744363,1.1488355448828085,1.1488355448828085,1.1361186545540003,-1.0,-2.0
25,SL,-1,1.1605312367865028,1.1665330358125943,1.1665330358125943,1.152278763125627,-1.0,-2.0
