datetime,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,Daily_Return
2025-04-09,171.95,200.61,171.89,198.85001,184395900,,,,,,,,,,
2025-04-10,189.070007,194.78,183.0,190.42,121880000,,,,,,,,,,-0.042393812301040446
2025-04-11,186.10001,199.53999,186.059998,198.14999,87435900,,,,,,,,,,0.04059442285474213
2025-04-14,211.44,212.94,201.16,202.52,101352900,,,,,,,,,,0.022054051075147685
2025-04-15,201.86,203.50999,199.8,202.14,51343900,,,,,,,,,,-0.001876357890578828
2025-04-16,198.36,200.7,192.37,194.27,59732400,,,,,,,,,,-0.03893341248639548
2025-04-17,197.2,198.83,194.42,196.98,51334300,,,,,,,,,,0.013949657692901463
2025-04-21,193.27,193.8,189.81,193.16,46742500,,,,,,,,,,-0.019392831759569518
2025-04-22,196.12,201.59,195.97,199.74001,52976400,,,,,,,,,,0.034065075585007376
2025-04-23,206.0,208.0,202.8,204.60001,52929200,,,,,,,,,,0.02433162990229132
2025-04-24,204.89,208.83,202.94,208.37,47311000,,,,,,,,,,0.018426147682006455
2025-04-25,206.37,209.75,206.2,209.28,38222300,,,,,,,,,,0.004367231367279345
2025-04-28,210.0,211.5,207.46001,210.14,38743100,,,,,,,,,,0.004109327217125314
2025-04-29,208.69,212.24001,208.37,211.21001,36827600,,,66.6963593450844,,,,,,,0.005091891120205805
2025-04-30,209.3,213.58,206.67,212.5,52286500,,,68.10726352787985,,,,,,,0.0061076177213381655
2025-05-01,209.080002,214.56,208.89999,213.32001,57365700,,,69.00613789085497,,,,,,,0.003858870588235197
2025-05-02,206.089996,206.99001,202.16,205.35001,101010600,,,53.28634001990498,,,,,,,-0.03736170835544217
2025-05-05,203.10001,204.10001,198.21001,198.89,69018500,,,44.44799479144234,,,,,,,-0.03145853267793852
2025-05-06,198.21001,200.64999,197.020004,198.50999,51216500,,,43.98581154680273,,,,,,,-0.0019106541304237945
2025-05-07,199.17,199.44,193.25,196.25,68536700,202.232502,,41.23937082197162,,,,215.51561853642116,202.232502,188.94938546357886,-0.011384767084014147
2025-05-08,197.72,200.050003,194.67999,197.49001,50478900,202.164502,,43.33017261692388,,,,215.52985588862356,202.164502,188.79914811137644,0.006318522292993789
